Rares,Website,Email,,Street Address,State,Located on Site Map,How Many Combos selling per week?,Listed On Website,Display,Linked from thier website,Updated Pricing & Bundle (2 & 1),Date Contacted,Notes,Facebook We Like,Updated Photos,Facebook They Like
NEW YORK,M,,,,,,,,,,,,,,,
Bitters & Esters,http://bitterandesters.com/,Douglas@bitterandesters.com,917.596.7261,"700 Washington Ave. Brooklyn, NY 11238",NY,Yes,,No,,No,,6/5/13,Called August 1st he was busy with a customer but sales are going well and they are going to be ordering again shortly. Oct16 spoke John sent new promo stuff.,Yes,,
Brooklyn Homebrew,http://store.brooklyn-homebrew.com/,store@brooklyn-homebrew.com,(Warehouse)1-718-832-2739 - (Retail)718-369-0776,"163 8th St 
Brooklyn. NY 11215",NY,Yes,,http://store.brooklyn-homebrew.com/fast-rack-combo-(bottle-dryer)/dp/3592,set up properly,No,No,6/5/13,Called Aug 1st - doing well,Yes,Old photos - sentnew photos aug 1st,
EJ Wren Homebrewer Inc.,www.ejwren.com,ejwren@twcny.rr.com,1-800-724-6875,"209 Oswego St. Liverpool, NY 13088",NY,Yes,,No,set up properly,No,,6/5/13,"Called Aug 1st - doing well, placed second order",Yes,sent aug 1st,
Pantano's Wine Grapes & Homebrew,www.pantanosbeerwine.com,pantanowineandbeer@yahoo.com,845-255-5201,"249 Route 32 South. New Paltz, NY 12561",NY,Yes,,No,set up properly,No,,6/5/13,Called Aug 1st - Not doing very well but selling slowly,Yes,,
Lets Do Wine!,http://www.letsdowine.com/contact.html,info@letsdowine.com,877-519-9463,"5864 Transit Rd. 
 Depew, New York 14043",NY,Yes,,No,,No,,6/5/13,"Called Aug 1st - said to talk to owner, in mondays or saturdays - not doing too well",Yes,,
Saratoga Zymurgist,www.saratogaz.com,oosb@verizon.net,(518) 580-9785,"112 Excelsior Ave. Saratoga Springs, NY 12866",NY,Yes,,http://www.saratogaz.com/Fast-Rack-Drain-Set-Up_p_8776.html,,No,No,6/5/13,Called Aug 1st - No answer,Yes,Old photos,
Hammersmith Homebrew Supplies,http://www.hammersmithhomebrew.com/About_us.htm,Hammersmithhomebrew@gmail.com,(518) 786-1853,"883 New Loudon Road (Route 9)
 Latham, New York 12110",NY,Yes,,No,set up properly,,,,Called Aug 1st - haven't sold any yet but loves them,No Facebook Page,sent photos aug 1st,
Homebrew Emporium,www.beerbrew.com,heny@beerbrew.com,518-283-7094,"470 North Greenbush Rd 
Rensselaer, NY 12144-8406",NY,Yes,,No - no online sales,,,,,,Yes,,
Mistucky Creek Homebrew & Wine,www.mistuckycreek.com,info@mistuckycreek.com,845-988-4677,"331 Route 94 South 
 Warwick,  NY   10990",NY,Yes,,No,,,,,,Yes,,
The Green Growler,http://thegreengrowler.com/?page_id=42,info@thegreengrowler.com,914-862-0961,"368 South Riverside Avenue
 Croton-on-Hudson, NY 10520",NY,Yes,,No,,,,,,Yes,,
The Brooklyn Kitchen,http://www.thebrooklynkitchen.com/,cody@thebrooklynkitchen.com - ray@thebrooklynkitchen.com,718-389-2982,"100 Frost Street. Brooklyn, New York, 11211",NY,Yes,,No,,,,,"Just ordered, last week of July",Yes,,
Homebrews and Handgrenades,www.brewgrenades.com,pete@brewgrenades.com,516-223 9300,"2378 Grand Ave, Baldwin NY 11510",NY,Yes,,Yes - feautured on front of homebrew,,,,,"Just ordered, last week of July",Yes,,
Dunkirk Homebrew Supply,http://www.dunkirkhomebrew.com/,dunkirkhomebrew@netsync.net,716-679-7977,"3375 East Main Road, Dunkirk, New York 14048",NY,Yes,,,,,,,First week of August,Yes,,
Bottom of the Barrel,http://www.bottomofthebarrel.biz/,Mark@bottomofthebarrel.biz,315-366-0655,"1736 Mt. Hope Ave.
Oneida N.Y. 13421",NY,Yes,,,,,,,First week of August,Yes,,
The Merry Wine Makers,www.themerrywinemakers.com,linda@themerrywinemakers.com,518-562-0064,"37 Durkee St.
Plattsburgh, NY 12901",NY,Yes,,,,,,,First week of August,Yes,,
American Homesteader,www.americanhomesteader.net,americanhomesteader@frontier.com,607-334-9941,"6167 State Highway 12, Norwich, NY 13815",NY,Yes,,,,,,,First week of August,Yes,,
The Brew Shop at Cornells,https://www.cornells.com/departments/the-brewshop-7.html,brewshop@cornells.com,1-914-961-2400,"310 White Plains Rd, Eastchester NY 10709",NY,Yes,,,,,,,August,No Facebook Page,,
Homebrew Too,,growny@gmail.com,1 718-762-8880,"146-49 Horace Harding Expy  Flushing, NY 11367",NY,Yes,,,,,,,August,No Facebook Page,,
The Simple Brewer,http://www.simplebrewer.com/,ggates@simplebrewer.com,845-490-0182,"346 Route 202,  Somers NY  10589",NY,Yes,,,,,,,,,,
Arbor Wine and Beermaking,www.arborwine.com,arborwineandbeer@yahoo.com,631-277-3004,"184 Islip Ave. (Route 111) Islip, 
            NYÂ  11751",NY,Yes,,,,,,,,,,
Keegan Homebrew & Mercantile,www.keeganales.com,beer@keeganales.com - Patrick@keeganales.com - homebrew@keeganales.com,(845) 853-8273,"20 Saint James Street, Kingston NY 12401",NY,Yes,,,,,,,,,,
Sunflower Supplies,,EMAIL@SUNFLOWERSUPPLIES.COM,631-651-8281,"176-18 CENTRAL AVE,  FARMINGDALE NY  11735",NY,Yes,,,,,,,,,,
Stuart Martin's Beer & Wine Making Supplies,,stuartbrews@hotmail.com,607-734-8150,"722 S Main Street, Elmira, New York 14904",NY,Yes,,,,,,,,,,
Niagara Tradition Homebrewing SuppliesÂ ,www.nthomebrew.com,ntbrew@localnet.com ,716-877-8767,"1296 Sheridan Dr. Buffalo, NY 14217",NY,Yes,,,,,,,,,,LD-Oct22
Bear Pond Winery,http://www.bearpondwines.com/main.sc,taste@bearpondwines.com,607-643-0294,"2515 State Highway 28 N, Oneonta, New York 13820",NY,Yes,,,,,,,,,,LD-Oct22
Beers Of The World,http://www.mybeersoftheworld.com/,tangotti@mybeersoftheworld.com ,Tony-(585) 334-0034 ,"2599 E Henrietta Rd
Rochester, NY 14623",NY,Yes,,,,,,,,,,
Beers Of The World,,,(585) 343-7335 - corey,"61 Jackson Street
Batavia, NY 14020",NY,Yes,,,,,,,,,,
Brewtopia Of Port Jeff,http://www.brewtopiaofportjeff.com/,brewtopia@yahoo.com ,631) 403-4999,"134 Main Street, Port Jefferson, New York 11777",NY,Yes,,,,,,,,,,
The Winemaker,http://thewinemaker.us/,uswinemaker@gmail.com,315-661-6357,"114 Court St. Watertown, NY 13601",NY,Yes,,,,,,,,,,
Docs Homebrewing,http://www.docsbrew.com/,docsbrew@verizon.net - myzer@yahoo.com,607)-722-2476,"451 Court St Binghamton, New York",NY,,,,,,,,,,,
Main St. Wines,http://www.wolfeswinesandbrewhouse.com/,Mainstwines@yahoo.com,585-492-2739 ,"249 Main Street, Arcade, NY 14009",NY,,,,,,,Oct31-Ordered,,,,
A & P Grape Distributors,http://www.winemakersnewyork.com/,Juan@winemakersny.com,516-495-4533 - 917-7093949,"1503 Hicksville Rd.  Massapequa, NY 11758",NY,,,,,,,,,,,Oct31-WineRack 
Sunset Hydroponics and homebrewing,http://www.sunsethydro.com/Default.asp,corey@sunsethydro.com,585-475-0011 - 585-475-0015(back office),"133 Balta dr. Rochester, NY 14623",NY,,,,,,,,,2-Jan,,
BEERS OF THE WORLD,,,585-427-2852,"2599 EAST HENRIETTA ROAD,  ROCHESTER NY 14623",NY,,,,,,,,,,,
THE WINEMAKER,,,315-661-6357,18034 N ADAMS HEIGHTS ADAMS NY 13605,Ny,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
MASSACHUSETTS,M,,,,,,,,,,,,,,,
Strange Brew,http://www.home-brew.com/x/,strangebrewing@hotmail.com,1-888-273-9464,"416 BOSTON POST RD EAST.
MARLBORO, MA 01752",MA,Yes,,No,set up properly,No,,6/5/13,Aug. 1st called - sales are amazing 3/1 over bottle tree,Yes,Aug. 1st sent updated photos,
Northampton Beer & Winemaking Supplies,www.beer-winemaking.com,stout@mapinternet.com,1-800-437-9463,"154 King St.
Northampton, MA
01060",MA,Yes,,No,,No,,6/5/13,Aug 1st - called no answer,No Facebook Page,,
Beer & Wine Hobby,www.beer-wine.com,admin@beer-wine.com,(800) 523-5423,"155 New Boston St. Woburn, MA 01801",MA,Yes,,http://www.beer-wine.com/products/fastrack-bottle-drainer-system,,No,No,6/5/13,Aug 1st - placed 6th order - doing extremely well,Yes,Old photos (Front Page Placement) - sent updated photos aug 1st,
One Stop Market,www.onestopmarket.net,dave@thegrillnextdoor.net,978-372-6711,"651 Broadway St.
Haverhill, MA 01832",MA,Yes,,No (don't sell product online),,No,,6/5/13,,Yes,,
Modern Homebrew Emporium,www.modernbrewer.com,mhe@modernbrewer.com - Chris's email camagg@gmail.com,617-498-0400,"2304 Massachussets Ave
Cambridge, MA 02140",MA,Yes,,No,set up properly,,,,"Called Aug 1st - haven't sold any yet, call him back",Yes,website is down,
West Boylston Homebrew Emporium,www.wbhomebrew.com,wbhe@beerbrew.com,508-835-3374,"45 Sterling Street, Suite 9
West Boylston, MA 01583",MA,Yes,,No,set up properly,,,,Called Aug 1st - hasn't sold any yet but customers seem interested - website not up right now,Yes,website is down,
South Shore Homebrew Emporium,www.beerbrew.com,sshe@beerbrew.com,(781) 340-2739,"58 Randolph St.
 Weymouth, MA 02190",MA,Yes,,No,,,,,Called Aug 1st - busy wth customer call back,Yes,website is down,
NFG Homebrew SuppliesÂ ,www.nfghomebrew.com,fran@nfghomebrew.com,(978) 840-1955,"72 Summer St  Leominster, MA 01453",MA,Yes,,No,,,,,,Yes,,
Tamarack Homebrew,http://tamarackhomebrewsupply.com/,tamarackwineandspirits@yahoo.com,(508) 947-6922,"157 Bedford St. Lakeville, MA 02347",MA,Yes,,No,,,,,,Yes,,
Cape Cod Home Brew Supply,http://capecodbeer.com/,info@capecodbeer.com ,508-790-4200,"1336 Phinney's Lane, Hyannis, Massachusetts 02601",MA,Yes,,,,,,,,,,
Debucas Wine And Liquors,https://www.facebook.com/debucas,debucas@comcast.net,508-823-0887,"Â Â 600 South St W, Raynham, Massachusetts 02767",MA,Yes,,,,,,,,,,
BarleyCorn,www.barleycorns.com,info@barleycorn.com,(508) 651-8885,21 Summer St.,MA,,,,,,,,,,,
ADEGA BEER & WINE ,,BARRY.ADEGA@GMAIL.COM,508-415-5625,151B STAGE RD WESTPORT MA 02790,MA,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
INDIANA,M,,,,,,,,,,,,,,,
Butler Winery Inc.,www.butlerwinery.com,intown@butlerwinery.com,812-339-7233,"1022 North College Ave.
Bloomington, IN 47404",IN,Yes,,No,,No,,6/5/13,"Called Aug 1st - Amy isnt in today, call her another day at dt location",Yes,,
South Bend Brew Werks,www.southbendbrewwerks.com,info@sbbrewwerks.com,(574) 214-7272,"216 South Michigan St.  South Bend, IN 46601",IN,Yes,,No,,No,,6/5/13,Called Aug. 1st - no answer,Yes,,
"Quality Wine and Ale Supply, LLC",www.homebrewit.com,info@HomeBrewIt.com,574-295-9975,"108 South Elkhart Ave.  Elkhart, IN 46516",IN,Yes,,No even though he said it was up,Chaging display this saturday (Aug 3rd),No,,6/5/13,"Called Aug 1st - They are doing okay, changing display",No Facebook Page,sent him updated photos,
L.H. Sturm Hardware Co.,http://fullnet.com/~bdm727/sturmstr.htm,bdm727@fullnet.com,812-482-6506,"516 Main St.  Jasper, IN 47546",IN,Yes,,No,displayed in window,No,,6/5/13,"Called Aug 1st - doing well, only have 3 sets left",Yes,sent updated photos Aug 1st,
The Brewers Art SupplyÂ ,http://brewingart.com/,brewersartsupply@gmail.com,260-426-7399,"1425 Wells St.Â Fort Wayne, IN 46808",IN,Yes,,Site is under construction,displayed properly,No,,6/5/13,Called Aug 1st - doing well so far,No Facebook Page,,
Great Fermentations of IndianaÂ ,www.greatfermentations.com,anita@greatfermentations.com,317-257-9463,"5127 East 65th St.
Indianapolis, IN 46220",IN,Yes,,No,displayed properly up front on counter - going to use FastRack in their bottling video online,No,,6/5/13,Called Aug 1st - going pretty well,Yes,sent aug 1st,
Tuxedo Park Brewers Supply,www.tuxedoparkbrewers.com,storekeeper@tuxedoparkbrewers.com,(317) 408-6970,"1139 Shelby Street - Alley Suite
Indianapolis, Indiana    46203",IN,Yes,,No - bottle tree only,,,,,,Yes,,
"Paterson Hardware, Inc.",http://paterson.doitbest.com/home.aspx,todd@pattersondoitbest.com,(260) 493-2111,"880 State Road 930 E, New Haven, IN 46774",IN,Yes,,No,,,,,Just added last week of july,No Facebook Page,,
Valpo Brew's,http://valpobrewfest.com/main.html,info@valpobrew.com,219-462-2233,"307 E Lincolway STE B,  Valparaiso IN  46383",IN,Yes,,,,,,,,,,
Home Brew Party,,stu@homebrewparty.com,210-422-4852,"944 E Harvest Church Rd,  Bloomfied IN  47424",IN,Yes,,,,,,,,,,
Hops & Harvest,http://www.hopsandharvest.com/,info@hopsandharvest.com,(260) 918-3035,"4616 E Dupont Rd  Fort Wayne, IN 46825",IN,Yes,,,,,,,,,,
Weber Equipment,https://www.facebook.com/WeberEquipment,sales@weberequipment.com,812-423-3050,"2218 West Franklin St., Evansville, Indiana 47712",IN,Yes,,,,,,,,,,
Brew and Blooms,www.brewandblooms.com,info@brewandblooms.com,1 219-595-2739,"7205 Calumet Ave  Hammond, IN 46324",IN,Yes,,,,,,,,,,
Just Brew it - Family Time Beverage parent company,,skstoner87@yahoo.com,812-274-2794,"719 W Main St  Madison, IN 47250",IN,,,,,,,,,,,ld-oct20
13,,,,,,,,,,,,,,,,
